Date,Kbrevis,S79.Q,S79.TN,S79.TP,S77.TN
7/6/2010,-1.8423106,,,0.01538752,0.15012331
7/20/2010,-1.81814489,,,0.01614236,0.17395828
8/3/2010,-1.73090436,,,0.01422524,0.20035863
8/17/2010,-1.59356271,,,0.00969451,0.22331943
8/31/2010,-1.43222609,,,0.00308358,0.23402708
9/14/2010,-1.28050416,,,-0.00473771,0.22435574
9/28/2010,-1.17175156,,,-0.01279844,0.19344908
10/12/2010,-1.13095767,,,-0.02020106,0.14504562
10/26/2010,-1.16870878,,,-0.0263705,0.08493222
11/9/2010,-1.2782985,,,-0.03115619,0.02095516
11/23/2010,-1.43637568,,,-0.03475471,-0.03766695
12/7/2010,-1.60782049,,,-0.03742741,-0.08221112
12/21/2010,-1.75358796,,,-0.0394462,-0.1061883
1/4/2011,-1.8396154,,,-0.04092691,-0.1071037
1/18/2011,-1.84473465,,,-0.04172068,-0.08597483
2/1/2011,-1.76581593,,,-0.04128987,-0.04831572
2/15/2011,-1.61871932,,,-0.03887064,0.00042184
3/1/2011,-1.4351136,,,-0.03361234,0.04893196
3/15/2011,-1.25554602,,,-0.02488505,0.08773651
3/29/2011,-1.11904834,,,-0.01243586,0.10915575
4/12/2011,-1.0534205,,,0.00345788,0.11021155
4/26/2011,-1.06717673,,,0.02192689,0.09233457
5/10/2011,-1.14766319,,,0.04167375,0.06042984
5/24/2011,-1.26090913,,,0.06095454,0.02331588
6/7/2011,-1.35754828,,,0.07793374,-0.00897498
6/21/2011,-1.38181126,,0.0402539,0.09081855,-0.02839695
7/5/2011,-1.2840454,,0.06488743,0.09845204,-0.03027939
7/19/2011,-1.03195841,,0.09363153,0.10011601,-0.01274738
8/2/2011,-0.61772975,,0.11731405,0.09563911,0.02127471
8/16/2011,-0.06197751,,0.13191107,0.08558119,0.0653373
8/30/2011,0.58740371,,0.13718626,0.0712957,0.10894013
9/13/2011,1.26268489,,0.13262995,0.05450358,0.14280522
9/27/2011,1.88651957,,0.12026212,0.03702033,0.15991967
10/11/2011,2.38450614,,0.10288453,0.02043537,0.15622846
10/25/2011,2.69884079,,0.0855566,0.00600085,0.1319989
11/8/2011,2.79717131,,0.07068277,-0.00553375,0.09002984
11/22/2011,2.67590796,,0.05997813,-0.0140355,0.03948109
12/6/2011,2.35896488,,0.05387525,-0.01987911,-0.01164437
12/20/2011,1.89408593,,0.05115018,-0.02379162,-0.0550816
1/3/2012,1.33992754,109.6492727,0.04977993,-0.02659318,-0.08649661
1/17/2012,0.76396541,-304.0300678,0.04711359,-0.02892449,-0.10417286
1/31/2012,0.22481457,-800.3692857,0.04143024,-0.03104408,-0.1095356
2/14/2012,-0.23551607,-1320.102258,0.03202238,-0.03277521,-0.10712825
2/28/2012,-0.59575376,-1792.945245,0.01901468,-0.0336179,-0.10229436
3/13/2012,-0.85369436,-2171.882836,0.00307337,-0.0329468,-0.09899692
3/27/2012,-1.02221252,-2409.702512,-0.01480889,-0.03018106,-0.09707115
4/10/2012,-1.12092401,-2466.453306,-0.03330318,-0.02500671,-0.09388895
4/24/2012,-1.17004818,-2334.763049,-0.05122831,-0.01751229,-0.08492318
5/8/2012,-1.1833321,-2042.566242,-0.06654711,-0.00814275,-0.06429172
5/22/2012,-1.16374221,-1645.715585,-0.07659738,0.00229744,-0.02612743
6/5/2012,-1.10530892,-1200.618878,-0.07878292,0.01271567,0.0331374
6/19/2012,-0.99011,-752.6667522,-0.07089103,0.0218663,0.11298252
7/3/2012,-0.79827928,-342.898967,-0.05165808,0.02879524,0.20745684
7/17/2012,-0.51394103,-3.29205454,-0.0215518,0.03285296,0.30551694
7/31/2012,-0.13281813,243.2031847,0.01759192,0.03371403,0.39231735
8/14/2012,0.33405114,391.18644,0.06233532,0.03142163,0.45111389
8/28/2012,0.85898182,432.7452895,0.10831262,0.02635078,0.46954387
9/11/2012,1.40378147,360.1330111,0.14999066,0.01917011,0.44083862
9/25/2012,1.9240726,203.3293721,0.1829806,0.01071383,0.36634174
10/9/2012,2.37728567,-8.93462558,0.20379394,0.00174333,0.25503747
10/23/2012,2.73057053,-243.7902977,0.21064896,-0.00701959,0.12179602
11/6/2012,2.96803442,-462.0740065,0.20330111,-0.01515127,-0.01509218
11/20/2012,3.09061921,-647.536913,0.18288638,-0.02247648,-0.13701873
12/4/2012,3.11714163,-805.2051775,0.15116031,-0.02903055,-0.22949362
12/18/2012,3.07653429,-951.3552337,0.11069044,-0.03503003,-0.28447188
1/1/2013,2.99910566,-1101.781135,0.06472994,-0.04065027,-0.30005642
1/15/2013,2.90967889,-1262.739988,0.01683596,-0.04590073,-0.28137701
1/29/2013,2.82082123,-1424.220749,-0.02873852,-0.05045935,-0.23888067
2/12/2013,2.72949337,-1558.791487,-0.06797589,-0.05376171,-0.18646235
2/26/2013,2.6171213,-1623.437608,-0.09705593,-0.05506602,-0.13740816
3/12/2013,2.45516719,-1566.467829,-0.11382763,-0.05372148,-0.10137621
3/26/2013,2.21216466,-1338.735564,-0.11708556,-0.04927742,-0.08254563
4/9/2013,1.86312456,-904.9780301,-0.10716975,-0.04168779,-0.08043337
4/23/2013,1.39870757,-250.691217,-0.08626981,-0.03137854,-0.09032162
5/7/2013,0.83021461,608.598015,-0.05761861,-0.01927337,-0.10443661
5/21/2013,0.19284416,1622.462649,-0.02482258,-0.00663572,-0.11421967
6/4/2013,-0.45901565,2715.714738,0.00842089,0.00504576,-0.11344563
6/18/2013,-1.05964217,3792.460522,0.03933402,0.01428415,-0.10037329
7/2/2013,-1.54424406,4748.684455,0.06561378,0.01990888,-0.07777215
7/16/2013,-1.86000933,5478.258218,0.08593563,0.02130189,-0.050628
7/30/2013,-1.97662392,5910.271052,0.09941341,0.0184164,-0.02674982
8/13/2013,-1.8934734,5994.888642,0.10579742,0.01176783,-0.01466722
8/27/2013,-1.63852753,5719.584476,0.10517835,0.00233392,-0.01973004
9/10/2013,-1.26602267,5107.354866,0.0983696,-0.00863137,-0.04274911
9/24/2013,-0.84634809,4219.560678,0.08684154,-0.01980103,-0.07970726
10/8/2013,-0.45400109,3132.032201,0.07241317,-0.03000193,-0.12248449
10/22/2013,-0.15597404,1952.246197,0.05688588,-0.03837965,-0.16068342
11/5/2013,0.00128135,784.643141,0.04171294,-0.04451339,-0.18369688
11/19/2013,-0.00026711,-280.7783794,0.02741919,-0.04840758,-0.18367701
12/3/2013,-0.15004624,-1174.914509,0.01386457,-0.05040454,-0.15800755
12/17/2013,-0.4105329,-1852.178497,-0.00022274,-0.05103704,-0.11051908
12/31/2013,-0.73018449,-2295.07096,-0.01667723,-0.05086793,-0.05053947
1/14/2014,-1.05406877,-2511.723494,-0.03719159,-0.05033703,0.00907887
1/28/2014,-1.33428043,-2530.826005,-0.06259205,-0.04962218,0.05498023
2/11/2014,-1.53861208,-2396.78706,-0.09233941,-0.0486004,0.07639894
2/25/2014,-1.65588012,-2160.094449,-0.12434711,-0.04688065,0.06771689
3/11/2014,-1.69295593,-1871.275075,-0.15586956,-0.04393309,0.03179017
3/25/2014,-1.67433945,-1576.546397,-0.18388717,-0.03922898,-0.02244928
4/8/2014,-1.62886501,-1309.218304,-0.2056993,-0.03241921,-0.08174185
4/22/2014,-1.58514642,-1087.150217,-0.2190257,-0.02347591,-0.13055201
5/6/2014,-1.56216547,-916.6332628,-0.2224726,-0.01278925,-0.15424829
5/20/2014,-1.56566705,-790.9237857,-0.21525343,-0.00114428,-0.143387
6/3/2014,-1.58517072,-691.4871705,-0.19719278,0.01037989,-0.09639933
6/17/2014,-1.59894081,-596.4726073,-0.16890447,0.02059894,-0.02003791
7/1/2014,-1.57990623,-485.7861313,-0.13175885,0.02844393,0.07292506
7/15/2014,-1.50372626,-346.2510722,-0.08831397,0.03314523,0.16373255
7/29/2014,-1.3567451,-179.0794921,-0.04240315,0.03434251,0.23303732
8/12/2014,-1.13994164,1.61061467,0.00122992,0.03209049,0.26487065
8/26/2014,-0.87196797,171.9315898,0.03748858,0.02683911,0.25084404
9/9/2014,-0.58577227,303.4862633,0.06169963,0.01933249,0.1913857
9/23/2014,-0.32353491,367.9961405,0.07048962,0.01046376,0.09451029
10/7/2014,-0.1272795,345.3734338,0.06268642,0.00108808,-0.02565921
