Seatrout,cormorant,DO,chl_Jon,csna_simon,NPGO
-0.005,-210.434,-2.941,,,
-0.148,-291.827,-0.971,,,
-0.231,-321.072,3.114,,,
-0.187,-307.818,3.785,,,
-0.073,-289.483,1,,,
-0.015,-280.047,-1.398,,,
-0.077,-250.806,-2.463,,,
-0.192,-163.365,-0.555,,,
-0.23,-20.145,3.43,,,
-0.132,121.95,4.041,,,
0.025,194.719,1.262,,,
0.097,174.482,-1.095,,,
0.008,96.704,-2.169,,,
-0.177,18.382,-0.353,,,
-0.312,-32.4,3.512,,,
-0.312,-69.532,4.045,,,
-0.215,-114.353,1.261,,,
-0.139,-159.99,-1.064,,,
-0.156,-169.516,-2.145,,,
-0.223,-111.82,-0.41,,,
-0.239,0.388,3.351,,,
-0.162,110.164,3.824,,,
-0.062,157.495,1.046,,,
-0.045,125.968,-1.241,,,
-0.141,48.406,-2.318,,,
-0.267,-27.178,-0.64,,,
-0.299,-78.874,3.045,,,
-0.216,-117.857,3.485,,,
-0.102,-160.265,0.732,,,
-0.079,-196.38,-1.503,,,
-0.179,-191.967,-2.559,,,
-0.289,-120.285,-0.911,,,
-0.272,5.626,2.733,,,
-0.096,133.444,3.162,,,
0.106,205.62,0.444,,,
0.174,200.781,-1.737,,,
0.044,143.408,-2.762,,,
-0.185,76.269,-1.121,,,
-0.313,18.72,2.516,,,
-0.278,-36.791,2.971,,,
-0.096,-99.333,0.313,,,
,-153.348,-1.796,,,
,-166.113,-2.771,,,
,-115.072,-1.103,,,
,-14.162,2.563,,,
,,3.064,,,
,,0.455,,,
,,-1.614,,,
,,-2.569,,,
,,-0.896,,,
,,2.788,,,
,,3.315,,,
,,0.721,,,
,,-1.345,,,
,,-2.305,,,
,,-0.63,,,
,,3.08,,,
,,3.638,,,
,,1.047,,,
,,-1.046,,,
,,-2.041,,,
,,-0.382,,,
,,3.341,,,
,,3.905,,,
,,1.273,,,
,,-0.899,,,
,,-1.969,,,
,,-0.345,,,
,,3.387,,,
,,3.951,,,
,,1.261,,,
,,-1.009,,,
,,-2.165,,,
,,-0.568,,,
,,3.189,,,
,,3.764,,,
,,1.017,,,
,,-1.357,,,
,,-2.593,,,
,,-1.001,,,
,,2.815,,,
,,3.431,,,
,,0.643,,,
,,-1.823,,,
,,-3.122,,,
,,-1.506,,,
,,2.401,,,
,,3.079,,,
,,0.264,,,
,,-2.279,,,
,,-3.615,,,
,,-1.935,,,
,,2.108,,,
,,2.891,,,
,,0.082,,,
,,-2.506,,,
,,-3.849,,,
,,-2.078,,,
,,2.125,,,
,,3.018,,,
,,0.205,,,
,,-2.445,,,
,,-3.809,,,
,,-1.957,,,
,,2.395,,,
,,3.39,,,
,,0.568,,,
,,-2.145,,,
,,-3.528,,,
,,-1.597,,,
,,2.894,,,
,,3.976,,,
,,1.121,,,
,,-1.686,,,
,,-3.123,,,
,,-1.158,,,
,,3.42,,,
,,4.539,,,
,,1.615,,,
,,-1.307,,,
,,-2.816,,,
,,-0.842,,,
,,3.793,,,
,,4.924,,,
,,1.92,,,
,,-1.12,,,
,,-2.71,,,
,,-0.746,,,
,,3.921,,,
,,5.044,,,
,,1.955,,,
,,-1.194,,,
,,-2.854,,,
,,-0.9,,,
,,3.792,,,
,,4.906,,,
,,1.746,,,
,,-1.483,,,
,,-3.193,,,
,,-1.246,,,
,,3.464,,,
,,4.58,,,
,,1.386,,,
,,-1.883,,,
,,-3.604,,,
,,-1.639,,,
,,3.109,,,
,,4.256,,,
,,1.071,,,
,,-2.19,,,
,,-3.886,,,
,,-1.89,,,
,,2.889,,,
,,4.059,,,
,,0.89,,,
,,-2.343,,,
,,-4.001,,,
,,-1.974,,,
,,2.829,,,
,,4.024,,,
,,0.893,,,
,,-2.282,,,
,,-3.885,,,
,,-1.835,,,
,,2.965,,,
,,4.158,,,
,,1.049,,,
,,-2.081,,,
,,-3.651,,,
,,-1.615,,,
,,3.137,,,
,,4.295,,,
,,1.192,,,
,,-1.893,,,
,,-3.436,,,
,,-1.439,,,
,,3.233,,,
,,4.326,,,
,,1.216,,,
,,-1.831,,,
,,-3.361,,,
,,-1.43,,,
,,3.132,,,
,,4.144,,,
,,1.029,,,
,,-1.967,,,
,,-3.476,,,
,,-1.612,,,
,,2.833,,,
,,3.763,,,
,,0.656,,,
,,-2.27,,,
,,-3.746,,,
,,-1.942,,,
,,2.393,,,
,,3.264,,,
,,0.205,,,
,,-2.607,,,
,,-4.008,,,
,,-2.234,,,
,,2.024,,,
,,2.869,,,
,,-0.114,,,
,,-2.791,,,
,,-4.111,,,
,,-2.366,,,
,,1.815,,,
,,2.647,,,
,,-0.236,,,
,,-2.752,,,
,,-3.968,,,
,,-2.23,,,
,,1.905,,,
,,2.754,,,
,,-0.009,,,
,,-2.362,,,
,,-3.487,,,
,,-1.779,,,
,,2.286,,,
,,3.126,,,
,,0.451,,,
,,-1.775,,,
,,-2.848,,,
,,-1.198,,,
,,2.778,,,
,,3.597,,,
,,0.989,,,
,,-1.142,,,
,,-2.195,,,
,,-0.629,,,
,,3.243,,,
,,4.016,,,
,,1.434,,,
,,-0.654,,,
